name,strain,source,accession,date,joint_WHO_China_sample_id,addtl_annotations
hCoV-19/Wuhan/WH19004/2020|NMDC60013002-09|2020-01-01,hCoV-19/Wuhan/WH19004/2020,ngdc,NMDC60013002-09,2020-01-01,S05,2019 market sequence
hCoV-19/Wuhan/WH19008/2019|NMDC60013002-06|2019-12-30,hCoV-19/Wuhan/WH19008/2019,ngdc,NMDC60013002-06,2019-12-30,S04,2019 market sequence
